epic_id,product_id,jira_key,prd_section,request,agile_status,effort_points,launch_cost,expected_revenue_lift,risk_reduction_points,dependency,release_quarter,confluence_status
EPIC-001,HPA-013,HPA-2896,Pricing impact,users want fewer handoffs between analytics and operational queues,UAT,13,237752.12,1195546.22,14,Data engineering,2026 Q3,Approved
EPIC-002,HPA-004,HPA-2961,Pricing impact,users spend too long interpreting exception and next-action screens,Ready for grooming,13,425526.47,1644657.22,13,Design research,2026 Q3,Needs source update
EPIC-003,HPA-007,HPA-3358,Requirements,users want fewer handoffs between analytics and operational queues,Blocked,13,397840.47,913927.5,18,Client implementation,2027 Q1,Needs source update
EPIC-004,HPA-005,HPA-3120,Release criteria,users spend too long interpreting exception and next-action screens,UAT,21,408803.54,1153139.45,14,Marketing enablement,2026 Q3,Draft
EPIC-005,HPA-005,HPA-3841,Release criteria,users want fewer handoffs between analytics and operational queues,Blocked,13,312839.33,476094.29,17,Marketing enablement,2026 Q4,Approved
EPIC-006,HPA-007,HPA-3865,Problem statement,"stakeholders asked for clearer numerator, denominator, and data freshness notes",PRD drafted,8,230588.83,470295.46,12,Client implementation,2026 Q3,Needs source update
EPIC-007,HPA-016,HPA-2875,Compliance review,buyers need tier and usage language that maps to budgets,In development,13,200652.75,953111.13,24,Marketing enablement,2026 Q4,Approved
EPIC-008,HPA-004,HPA-2956,Problem statement,buyers need tier and usage language that maps to budgets,UAT,13,207719.83,838165.62,11,Security review,2027 Q1,Approved
EPIC-009,HPA-002,HPA-3645,Compliance review,users spend too long interpreting exception and next-action screens,PRD drafted,13,415589.51,1952975.37,20,Design research,2027 Q1,Draft
EPIC-010,HPA-004,HPA-2765,Requirements,prospects care about time to first validated insight,Discovery,5,95733.59,392300.51,24,Marketing enablement,2026 Q4,Draft
EPIC-011,HPA-013,HPA-2598,Requirements,users want fewer handoffs between analytics and operational queues,UAT,13,388126.79,1332027.75,17,Design research,2026 Q3,Ready for review
EPIC-012,HPA-016,HPA-2705,Commercial enablement,buyers need tier and usage language that maps to budgets,Discovery,5,95992.16,160368.75,21,Security review,2027 Q1,Ready for review
EPIC-013,HPA-010,HPA-2513,Release criteria,users spend too long interpreting exception and next-action screens,In development,5,143682.42,688021.23,20,Design research,2026 Q4,Draft
EPIC-014,HPA-013,HPA-2827,Release criteria,"stakeholders asked for clearer numerator, denominator, and data freshness notes",In development,8,162598.62,728021.93,13,API contract,2026 Q3,Draft
EPIC-015,HPA-007,HPA-3771,Problem statement,"stakeholders asked for clearer numerator, denominator, and data freshness notes",In development,8,200932.45,464853.0,20,Design research,2026 Q3,Draft
EPIC-016,HPA-003,HPA-3867,Problem statement,marketing needs proof points against point solutions and internal builds,In development,13,290448.49,552143.8,29,Data engineering,2027 Q1,Needs source update
EPIC-017,HPA-012,HPA-3720,Metric definition,users want fewer handoffs between analytics and operational queues,Ready for grooming,5,78475.28,374321.48,3,Security review,2026 Q4,Ready for review
EPIC-018,HPA-011,HPA-3703,Compliance review,users spend too long interpreting exception and next-action screens,PRD drafted,13,217177.74,774282.71,12,API contract,2026 Q4,Ready for review
EPIC-019,HPA-002,HPA-3711,Compliance review,marketing needs proof points against point solutions and internal builds,UAT,8,167721.93,888728.32,14,Client implementation,2027 Q1,Draft
EPIC-020,HPA-001,HPA-2624,Requirements,users spend too long interpreting exception and next-action screens,PRD drafted,8,128183.1,287549.9,25,Marketing enablement,2026 Q4,Approved
EPIC-021,HPA-007,HPA-2429,Pricing impact,"buyers want visible privacy, audit, and access controls before expansion",Discovery,3,76178.07,156381.65,25,Marketing enablement,2026 Q3,Ready for review
